# Top games from https://boardgamegeek.com/browse/boardgame
#
# Downloaded 8/2/23 by NDG
# Source: https://boardgamegeek.com/market/browse?objecttype=thing&objectid=233078&pageid=1
#
Game,Item ID,Price,Sale Month,Sale Day,Sale Year
Terraforming Mars,1841104,$47.2 - Like New,7,28,2023
Terraforming Mars,1840999,$100 - New,7,28,2023
Terraforming Mars,1836648,$50 - Very Good,7,5,2023
Terraforming Mars,1834501,$50 - Very Good,6,26,2023
Terraforming Mars,1833240,$50 - Very Good,6,20,2023
Terraforming Mars,1827317,$150 - Good,5,30,2023
Terraforming Mars,1822436,$25 - Very Good,5,11,2023
Terraforming Mars,1819157,$20 - Acceptable,4,30,2023
Terraforming Mars,1817569,$55 - Very Good,4,24,2023
Terraforming Mars,1816982,$45 - Like New,4,21,2023
Terraforming Mars,1816609,$25 - Good,4,19,2023
Terraforming Mars,1814548,$35 - Very Good,4,10,2023
Terraforming Mars,1810665,$30 - Very Good,3,24,2023
Terraforming Mars,1808796,$21 - Very Good,3,15,2023
Terraforming Mars,1808533,$50 - Very Good,3,14,2023
Terraforming Mars,1801710,$45 - Very Good,2,18,2023
Terraforming Mars,1801693,$30 - Very Good,2,18,2023
Terraforming Mars,1795426,$25 - Very Good,1,27,2023
Terraforming Mars,1792223,$55 - New,1,13,2023
Terraforming Mars,1792202,$35 - Like New,1,13,2023
Terraforming Mars,1791323,$10 - Like New,1,10,2023
Terraforming Mars,1790594,$40 - Like New,1,6,2023
Terraforming Mars,1790233,$25 - Like New,1,5,2023
Terraforming Mars,1788035,$49 - New,12,23,2022
Terraforming Mars,1787817,$40 - Very Good,12,22,2022
Terraforming Mars,1782051,$50 - Very Good,11,27,2022
Terraforming Mars,1779025,$16 - Acceptable,11,14,2022
Terraforming Mars,1775701,$50 - Very Good,11,1,2022
Terraforming Mars,1773300,$30 - Very Good,10,23,2022
Terraforming Mars,1771279,$30 - New,10,14,2022
Terraforming Mars,1767543,$10 - Very Good,9,28,2022
Terraforming Mars,1755345,$50 - Very Good,8,23,2022
Terraforming Mars,1755001,$37 - Like New,8,22,2022
Terraforming Mars,1754611,$100 - Very Good,8,21,2022
Terraforming Mars,1753626,$20 - Very Good,8,19,2022
Terraforming Mars,1744883,$30 - Very Good,7,25,2022
Terraforming Mars,1732866,$40 - Very Good,6,9,2022
Terraforming Mars,1732718,$35 - New,6,8,2022
Terraforming Mars,1732209,$22 - Very Good,6,6,2022
Terraforming Mars,1731493,$35 - Very Good,6,4,2022
Terraforming Mars,1730768,$8.49 - New,6,1,2022
Terraforming Mars,1730643,$35 - Like New,6,1,2022
Terraforming Mars,1727232,$120 - Like New,5,18,2022
Terraforming Mars,1726770,$30 - Like New,5,16,2022
Terraforming Mars,1725965,$35 - Like New,5,13,2022
Terraforming Mars,1723560,$32 - Like New,5,3,2022
Terraforming Mars,1716392,$35 - Very Good,4,18,2022
Terraforming Mars,1709885,$301 - Like New,4,3,2022
Terraforming Mars,1707713,$80 - Like New,3,30,2022
Terraforming Mars,1706587,$85 - Very Good,3,27,2022
Terraforming Mars,1704383,$375 - New,3,22,2022
Terraforming Mars,1698212,$45 - Very Good,3,9,2022
Terraforming Mars,1697969,$35 - Very Good,3,9,2022
Terraforming Mars,1696580,$40 - Very Good,3,6,2022
Terraforming Mars,1696571,$150 - Very Good,3,6,2022
Terraforming Mars,1688924,$28 - Very Good,2,17,2022
Terraforming Mars,1685072,$34 - Like New,2,10,2022
Terraforming Mars,1677521,$40 - Like New,1,27,2022
Terraforming Mars,1669069,$40 - Like New,1,13,2022
Terraforming Mars,1661392,$37.39 - Very Good,12,30,2021
Terraforming Mars,1658363,$35 - New,12,23,2021
Terraforming Mars,1657386,$55 - Very Good,12,21,2021
Terraforming Mars,1656075,$40 - New,12,18,2021
Terraforming Mars,1649695,$39.99 - Very Good,12,6,2021
Terraforming Mars,1645879,$32 - Very Good,11,30,2021
Terraforming Mars,1642516,$35 - Very Good,11,24,2021
Terraforming Mars,1642325,$70 - Very Good,11,23,2021
Terraforming Mars,1640690,$37.5 - Very Good,11,20,2021
Terraforming Mars,1640683,$110 - Very Good,11,20,2021
Terraforming Mars,1620014,$30 - Good,10,10,2021
Terraforming Mars,1617616,$106.25 - Like New,10,4,2021
Terraforming Mars,1617526,$45 - New,10,4,2021
Terraforming Mars,1613606,$180 - Very Good,9,26,2021
Terraforming Mars,1612256,$42 - Like New,9,24,2021
Terraforming Mars,1610119,$115 - New,9,19,2021
Terraforming Mars,1605881,$35 - New,9,10,2021
Terraforming Mars,1605323,$49.99 - New,9,9,2021
Terraforming Mars,1604395,$40 - Very Good,9,7,2021
Terraforming Mars,1603967,$49.99 - New,9,7,2021
Terraforming Mars,1603434,$81 - Very Good,9,6,2021
Terraforming Mars,1603253,$40 - New,9,6,2021
Terraforming Mars,1601677,$30 - New,9,2,2021
Terraforming Mars,1600905,$33 - Like New,8,31,2021
Terraforming Mars,1600204,$35 - Very Good,8,30,2021
Terraforming Mars,1598885,$37.39 - Very Good,8,27,2021
Terraforming Mars,1596450,$36 - Very Good,8,22,2021
Terraforming Mars,1592515,$90 - Like New,8,13,2021
Terraforming Mars,1584431,$50 - Very Good,7,25,2021
Terraforming Mars,1581346,$14 - New,7,17,2021
Terraforming Mars,1581347,$49 - Like New,7,17,2021
Terraforming Mars,1581037,$65 - Like New,7,16,2021
Terraforming Mars,1579465,$50 - Very Good,7,12,2021
Terraforming Mars,1575215,$39 - Very Good,7,1,2021
Terraforming Mars,1574561,$30 - Like New,6,30,2021
Terraforming Mars,1574259,$60 - Like New,6,29,2021
Terraforming Mars,1573339,$31 - Like New,6,27,2021
Terraforming Mars,1570213,$40 - Very Good,6,20,2021
Terraforming Mars,1569772,$25 - Like New,6,18,2021
Terraforming Mars,1569728,$20 - Like New,6,18,2021
Terraforming Mars,1569534,$30 - New,6,18,2021
Heat,tem ID,$Price - Condition,#VALUE!,#VALUE!,#VALUE!
Heat,1842098,$140 - New,8,1,2023
Heat,1841806,$120 - New,7,31,2023
Heat,1840808,$95 - New,7,27,2023
Heat,1840463,$120 - New,7,25,2023
Heat,1840183,$70 - Like New,7,24,2023
Heat,1838760,$75 - Like New,7,16,2023
Heat,1838716,$75 - Like New,7,16,2023
Heat,1837875,$75 - Like New,7,11,2023
Heat,1837745,$130 - New,7,11,2023
Heat,1837153,$80 - Like New,7,8,2023
Heat,1837146,$70 - Like New,7,7,2023
Heat,1836549,$120 - New,7,4,2023
Heat,1835866,$125 - New,7,1,2023
Heat,1835813,$75 - Like New,7,1,2023
Heat,1834809,$70 - Like New,6,27,2023
Heat,1834715,$110 - New,6,26,2023
Heat,1834527,$60 - Like New,6,26,2023
Heat,1834325,$75 - Like New,6,25,2023
Heat,1833902,$90 - Very Good,6,23,2023
Heat,1833121,$100 - Like New,6,20,2023
Heat,1831498,$70 - Like New,6,16,2023
Heat,1830388,$58.99 - New,6,12,2023
Heat,1827723,$75 - New,5,31,2023
