GHCN Daily,,,,,,,,,,,,,
Downloaded 1/12/24 by NDG,,,,,,,,,,,,,
https://www.ncei.noaa.gov/maps/daily-summaries/,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"PRCP = Precipitation (mm or inches as per user preference, inches to hundredths on Daily Form pdf file)",,,,,,,,,,,,,
"SNOW = Snowfall (mm or inches as per user preference, inches to tenths on Daily Form pdf file)",,,,,,,,,,,,,
"SNWD = Snow depth (mm or inches as per user preference, inches on Daily Form pdf file)",,,,,,,,,,,,,
"TMAX = Maximum temperature (Fahrenheit or Celsius as per user preference, Fahrenheit to tenths on Daily Form pdf file",,,,,,,,,,,,,
"TMIN = Minimum temperature (Fahrenheit or Celsius as per user preference, Fahrenheit to tenths on Daily Form pdf file",,,,,,,,,,,,,
,,,,,,,,,,,,,
STATION,NAME,,,,,,,,,,,,
USC00462523,"DUNMORE 1 N, WV US",,,,,,,,,,,,
US1WVRD0008,"ELKINS 2.5 SSE, WV US",,,,,,,,,,,,
USC00461393,"CANAAN VALLEY, WV US",,,,,,,,,,,,
US1WVPC0001,"ARBOVALE 0.8 NW, WV US",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESF
USC00462523,"DUNMORE 1 N, WV US",1/1/2023,,,,,0.2,0,0,45,29,29,
USC00462523,"DUNMORE 1 N, WV US",1/2/2023,,,,,0,0,0,57,28,29,
USC00462523,"DUNMORE 1 N, WV US",1/3/2023,,,,,0,0,0,57,29,35,
USC00462523,"DUNMORE 1 N, WV US",1/4/2023,,,,,0.07,0,0,62,35,40,
USC00462523,"DUNMORE 1 N, WV US",1/5/2023,,,,,0,0,0,58,32,33,
USC00462523,"DUNMORE 1 N, WV US",1/6/2023,,,,,0,0,0,50,32,33,
USC00462523,"DUNMORE 1 N, WV US",1/7/2023,,,,,0,0,0,36,26,26,
USC00462523,"DUNMORE 1 N, WV US",1/8/2023,,,,,0,0,0,43,16,17,
USC00462523,"DUNMORE 1 N, WV US",1/9/2023,,,,,0.01,0,0,33,16,30,
USC00462523,"DUNMORE 1 N, WV US",1/10/2023,,,,,0,0,0,36,14,14,
USC00462523,"DUNMORE 1 N, WV US",1/11/2023,,,,,0,0,0,40,14,20,
USC00462523,"DUNMORE 1 N, WV US",1/12/2023,,,,,0.28,0,0,46,20,32,
USC00462523,"DUNMORE 1 N, WV US",1/13/2023,,,,,0.21,0,0,48,31,33,
USC00462523,"DUNMORE 1 N, WV US",1/14/2023,,,,,0,0,0,35,25,25,
USC00462523,"DUNMORE 1 N, WV US",1/15/2023,,,,,0,0,0,29,8,8,
USC00462523,"DUNMORE 1 N, WV US",1/16/2023,,,,,0,0,0,39,6,13,
USC00462523,"DUNMORE 1 N, WV US",1/17/2023,,,,,0.22,0,0,49,12,31,
USC00462523,"DUNMORE 1 N, WV US",1/18/2023,,,,,0.05,0,0,46,31,39,
USC00462523,"DUNMORE 1 N, WV US",1/19/2023,,,,,0,0,0,54,32,37,
USC00462523,"DUNMORE 1 N, WV US",1/20/2023,,,,,0.12,0,0,52,34,35,
USC00462523,"DUNMORE 1 N, WV US",1/21/2023,,,,,0,0,0,35,27,27,
USC00462523,"DUNMORE 1 N, WV US",1/22/2023,,,,,0,0,0,32,18,20,
USC00462523,"DUNMORE 1 N, WV US",1/23/2023,,,,,0.2,0,0,33,20,32,
USC00462523,"DUNMORE 1 N, WV US",1/24/2023,,,,,0.06,0.2,0,32,14,14,
USC00462523,"DUNMORE 1 N, WV US",1/25/2023,,,,,0,0,0,41,14,27,
USC00462523,"DUNMORE 1 N, WV US",1/26/2023,,,,,0.59,2,0,35,27,30,
USC00462523,"DUNMORE 1 N, WV US",1/27/2023,,,,,0.01,0.2,0,34,23,23,
USC00462523,"DUNMORE 1 N, WV US",1/28/2023,,,,,0,0,0,34,23,27,
USC00462523,"DUNMORE 1 N, WV US",1/29/2023,,,,,0,0,0,46,22,27,
USC00462523,"DUNMORE 1 N, WV US",1/30/2023,,,,,0.18,0,0,37,27,34,
USC00462523,"DUNMORE 1 N, WV US",1/31/2023,,,,,0,0,0,53,34,39,
USC00462523,"DUNMORE 1 N, WV US",2/1/2023,,,,,0.05,0.4,0,43,28,28,
USC00462523,"DUNMORE 1 N, WV US",2/2/2023,,,,,0,0,0,38,23,25,
USC00462523,"DUNMORE 1 N, WV US",2/3/2023,,,,,0,0,0,41,25,25,
USC00462523,"DUNMORE 1 N, WV US",2/4/2023,,,,,0,0,0,25,3,3,
USC00462523,"DUNMORE 1 N, WV US",2/5/2023,,,,,0,0,0,38,3,19,
USC00462523,"DUNMORE 1 N, WV US",2/6/2023,,,,,0,0,0,51,18,39,
USC00462523,"DUNMORE 1 N, WV US",2/7/2023,,,,,0,0,0,44,18,19,
USC00462523,"DUNMORE 1 N, WV US",2/8/2023,,,,,0,0,0,56,17,43,
USC00462523,"DUNMORE 1 N, WV US",2/9/2023,,,,,0,0,0,59,38,40,
USC00462523,"DUNMORE 1 N, WV US",2/10/2023,,,,,0,0,0,65,39,39,
USC00462523,"DUNMORE 1 N, WV US",2/11/2023,,,,,0,0,0,44,26,26,
USC00462523,"DUNMORE 1 N, WV US",2/12/2023,,,,,0,0,0,48,23,34,
USC00462523,"DUNMORE 1 N, WV US",2/13/2023,,,,,0.73,0,0,37,23,23,
USC00462523,"DUNMORE 1 N, WV US",2/14/2023,,,,,0,0,0,53,23,26,
USC00462523,"DUNMORE 1 N, WV US",2/15/2023,,,,,0.01,0,0,58,23,38,
USC00462523,"DUNMORE 1 N, WV US",2/16/2023,,,,,0,0,0,67,28,33,
USC00462523,"DUNMORE 1 N, WV US",2/17/2023,,,,,1.73,0,0,49,33,48,
USC00462523,"DUNMORE 1 N, WV US",2/18/2023,,,,,0.02,0.1,0,48,13,13,
USC00462523,"DUNMORE 1 N, WV US",2/19/2023,,,,,0,0,0,48,12,26,
USC00462523,"DUNMORE 1 N, WV US",2/20/2023,,,,,0,0,0,59,26,41,
USC00462523,"DUNMORE 1 N, WV US",2/21/2023,,,,,0.16,0,0,48,37,37,
USC00462523,"DUNMORE 1 N, WV US",2/22/2023,,,,,0.03,0,0,54,25,30,
USC00462523,"DUNMORE 1 N, WV US",2/23/2023,,,,,0.49,0,0,53,30,41,
USC00462523,"DUNMORE 1 N, WV US",2/24/2023,,,,,0.05,0,0,68,40,42,
USC00462523,"DUNMORE 1 N, WV US",2/25/2023,,,,,0,0,0,51,21,22,
USC00462523,"DUNMORE 1 N, WV US",2/26/2023,,,,,0.28,0,0,34,22,22,
USC00462523,"DUNMORE 1 N, WV US",2/27/2023,,,,,0,0,0,52,22,26,
USC00462523,"DUNMORE 1 N, WV US",2/28/2023,,,,,0.28,0,0,53,26,49,
USC00462523,"DUNMORE 1 N, WV US",3/1/2023,,,,,0,0,0,57,24,24,
USC00462523,"DUNMORE 1 N, WV US",3/2/2023,,,,,0.11,0,0,64,24,42,
