Year,SP Closing Value,CPI,SP Annual Inflation Adjusted Return
1871,4.74,12.65439174,
1872,5.07,12.93980661,0.10564628
1873,4.42,12.17864628,-0.010510479
1874,4.54,11.51265124,0.167263928
1875,4.37,10.9417405,0.086477509
1876,3.58,10.75149091,-0.101115913
1877,3.25,9.514585124,0.108527468
1878,3.45,8.18251405,0.302728248
1879,4.92,9.704834711,0.258629998
1880,5.84,9.514585124,0.265067728
1881,6.01,10.18058017,0.007542057
1882,5.84,9.990330579,0.045240713
1883,5.34,9.229089256,0.048564668
1884,4.34,8.277679339,-0.030037428
1885,5.2,8.18251405,0.285613436
1886,5.64,7.801941983,0.186690911
1887,5.27,8.277679339,-0.080859035
1888,5.14,8.277679339,0.021444837
1889,5.32,7.801941983,0.14494326
1890,4.6,7.897091074,-0.108809226
1891,5.41,7.51650281,0.289962832
1892,5.51,7.611651901,0.0484237
1893,4.41,7.040773554,-0.088096277
1894,4.3,6.565052397,0.100935413
1895,4.32,6.755342479,0.020377033
1896,4.22,6.660193388,0.034765455
1897,4.75,6.660193388,0.171049359
1898,5.65,6.755342479,0.216868243
1899,6.02,7.897091074,-0.058029794
1900,6.87,7.611651901,0.234293447
1901,7.95,7.992232066,0.145678997
1902,8.05,8.563094215,-0.017628551
1903,6.57,8.087381157,-0.093063287
1904,8.25,8.467928926,0.256122146
1905,9.54,8.467928926,0.197692567
1906,9.84,8.94367438,0.014214873
1907,6.57,8.753424793,-0.27851498
1908,9.03,9.038839669,0.403584607
1909,10.3,9.990330579,0.077202349
1910,9.05,9.229089256,-0.001002932
1911,9.11,9.038839669,0.08146939
1912,9.38,9.704834711,0.007744477
1913,8.04,10,-0.119365076
1914,7.35,10.1,-0.04226799
1915,9.48,10.3,0.330166516
1916,9.8,11.6,-0.032856285
1917,6.8,13.7,-0.36563638
1918,7.9,16.5,0.047267037
1919,8.92,18.9,0.048683517
1920,6.81,19.4,-0.205244926
1921,7.31,17.3,0.291234072
1922,8.78,16.9,0.301590236
1923,8.55,17.3,0.010306029
1924,10.16,17.3,0.260100151
1925,12.46,17.9,0.24722063
1926,13.49,17.7,0.152059068
1927,17.46,17.3,0.387178516
1928,23.15,17.1,0.396025633
1929,21.4,17.2,-0.047626188
1930,15.51,16.1,-0.187082361
1931,8.44,14.6,-0.354803559
1932,6.82,13.1,-0.009059813
1933,9.97,13.2,0.529377285
1934,9.26,13.4,-0.042113999
1935,13.04,13.8,0.426600859
1936,17.06,14,0.337341275
1937,11.02,14.4,-0.336804635
1938,12.69,14,0.261022711
1939,12.37,14,0.019230173
1940,10.53,14.1,-0.102008048
1941,8.76,15.5,-0.187444274
1942,9.52,16.9,0.074024075
1943,11.48,17.4,0.232317688
1944,13.1,17.8,0.172244634
1945,17.33,18.2,0.349373549
1946,15.13,21.5,-0.229610977
1947,15.03,23.4,-0.039785092
1948,15.19,24.1,0.037515903
1949,16.54,23.6,0.189004057
1950,20.43,25,0.246793285
1951,23.77,26.5,0.173772592
1952,26.57,26.7,0.174162559
1953,24.809999,26.9,-0.017934086
1954,35.98,26.7,0.532345543
1955,45.48,26.8,0.308271517
1956,46.669998,27.6,0.034614789
1957,39.990002,28.4,-0.133119009
1958,55.209999,28.9,0.407212071
1959,59.889999,29.4,0.099885065
1960,58.110001,29.8,-0.00914633
1961,71.550003,30,0.259279588
1962,63.099998,30.4,-0.099494486
1963,75.019997,30.9,0.206509777
1964,84.75,31.2,0.151703164
1965,92.43,31.8,0.102174007
1966,80.330002,32.9,-0.130733184
1967,96.470001,33.9,0.202175707
1968,103.860001,35.5,0.059613589
1969,92.059998,37.7,-0.137792263
1970,92.150002,39.8,-0.015518966
1971,102.089996,41.1,0.106509544
1972,118.050003,42.5,0.149771006
1973,97.550003,46.2,-0.216117392
1974,68.559998,51.9,-0.344877696
