# States by Area
# Source: https://simple.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_area,,,,,
#
State,Rank,sq mi,km²,sq mi (thousands),Region
Alaska,1," 665,384 ",1723337, 665 ,West
Texas,2," 268,596 ",695662, 269 ,South
California,3," 163,696 ",423972, 164 ,West
Montana,4," 147,040 ",380831, 147 ,West
New Mexico,5," 121,590 ",314917, 122 ,West
Arizona,6," 113,990 ",295234, 114 ,West
Nevada,7," 110,572 ",286380, 111 ,West
Colorado,8," 104,094 ",269601, 104 ,West
Oregon,9," 98,379 ",254799, 98 ,West
Wyoming,10," 97,813 ",253335, 98 ,West
Michigan,11," 96,714 ",250487, 97 ,Midwest
Minnesota,12," 86,936 ",225163, 87 ,Midwest
Utah,13," 84,897 ",219882, 85 ,West
Idaho,14," 83,569 ",216443, 84 ,West
Kansas,15," 82,278 ",213100, 82 ,Midwest
Nebraska,16," 77,348 ",200330, 77 ,Midwest
South Dakota,17," 77,116 ",199729, 77 ,Midwest
Washington,18," 71,298 ",184661, 71 ,West
North Dakota,19," 70,698 ",183108, 71 ,Midwest
Oklahoma,20," 69,899 ",181037, 70 ,South
Missouri,21," 69,707 ",180540, 70 ,South
Florida,22," 65,758 ",170312, 66 ,South
Wisconsin,23," 65,496 ",169635, 65 ,Midwest
Georgia,24," 59,425 ",153910, 59 ,South
Illinois,25," 57,914 ",149995, 58 ,Midwest
Iowa,26," 56,273 ",145746, 56 ,Midwest
New York,27," 54,555 ",141297, 55 ,Northeast
North Carolina,28," 53,819 ",139391, 54 ,South
Arkansas,29," 53,179 ",137732, 53 ,South
Alabama,30," 52,420 ",135767, 52 ,South
Louisiana,31," 52,378 ",135659, 52 ,South
Mississippi,32," 48,432 ",125438, 48 ,South
Pennsylvania,33," 46,054 ",119280, 46 ,Northeast
Ohio,34," 44,826 ",116098, 45 ,Midwest
Virginia,35," 42,775 ",110787, 43 ,South
Tennessee,36," 42,144 ",109153, 42 ,South
Kentucky,37," 40,408 ",104656, 40 ,South
Indiana,38," 36,420 ",94326, 36 ,Midwest
Maine,39," 35,380 ",91633, 35 ,Northeast
South Carolina,40," 32,020 ",82933, 32 ,South
West Virginia,41," 24,230 ",62756, 24 ,South
Maryland,42," 12,406 ",32131, 12 ,South
Hawaii,43," 10,932 ",28313, 11 ,West
Massachusetts,44," 10,554 ",27336, 11 ,Northeast
Vermont,45," 9,616 ",24906, 10 ,Northeast
New Hampshire,46," 9,349 ",24214, 9 ,Northeast
New Jersey,47," 8,723 ",22591, 9 ,Northeast
Connecticut,48," 5,543 ",14357, 6 ,Northeast
Delaware,49," 2,489 ",6446, 2 ,Northeast
Rhode Island,50," 1,545 ",4001, 2 ,Northeast
