# BodyM Data
# 
# Data from:
# https://aws.amazon.com/marketplace/pp/prodview-w3762gcflmhzk#resources
# Human Body Measurement Estimation with Adversarial Augmentation
# Nataniel Ruiz, Miriam Bellver, Timo Bolkart, Ambuj Arora, Ming C. Lin, Javier Romero and Raja Bala
#
# Training hwg_metadata.csv file
subject_id,gender,height_cm,weight_kg
AhfyGaD1BKo0-u6PeQk2oI-Bw5l0XxpAqNroFuZuy0I,female,160.0,92.4
E8tDQ5IgdBwbjLIXu7GwcupEHYbi0eB18YNcsgsSbP8,female,175.75,102.8
59bc2767681516389ccf45f9,male,174.8,106.9
nRatvgqbYTN77typTgGm4bAurxzpvf5nYg2Mb3gdh8c,male,181.5,111.8
fkq68ww6bdyKT16FavI1x_G-u7YZ9SoT1GNMUTSJUek,female,161.6,93.0
7MvJ6pMSwyNUqLhEgn6cZlVZutLryVZVL9vZrfYBCr4,female,168.5,97.6
59bc2766681516389ccf456d,male,172.0,104.4
FdptiwTDmIhBD4tRHUaQOs0cyBjz89KJ3296tK3fTVw,male,160.2,95.5
nV9DFb-Q2_nOAvjVsdQfU8k4fFb7czvAhHHP-qkAxFY,male,180.0,110.3
Es_GZaoXVzviajUXwSoRzcovnivkqQpN8xbdqt2VlpU,male,183.5,112.9
SDeiJFKVmRceC3qDqcpQTyDnNDOrSB2SriupQya166k,female,161.2,92.45
ovNyxkRrq34hkn8P45dbvUPCZg6t3Qb6Iphtrxeqd1Y,female,172.4,99.8
HYLKMpRR-ZZA0GvRtRs5stQ0mPS1AmH92glIqg1DLpo,female,158.7,90.6
St1RAwweLXux_N5x-LD02AOSmWj34hxrjeg3q8SQhxo,male,196.0,121.8
FeunQSMTPBXcbjR0YGg_nMfJGJ_tLtBMI19jf1_O1ks,male,180.5,110.2
kJbq4rY7KCtD0ik0QWdzgPTcAAt4SXHnOOMEstRxGQw,female,168.9,97.2
oenot-0aaDdOZghQnGD7HJUBTM0mLIfdHyxN_IsrTCU,female,166.1,95.3
59bc2770681516389ccf4907,male,183.5,112.3
P7Fj7Yam-B8N2UIU2PCCVq3wZNCVx43pbvCaLr6Jahk,female,171.5,98.5
8OXGiJTp2phyVALrYrdH0lvVu-3sEjUHY-TGGXvwHNg,female,156.5,88.3
9WDEVwVyXeZPsmZ3vyB-AtLunvJjsp24Yls-zufCAiA,male,174.0,104.5
RmX_Gxh2RmFdRfFMJEwqaRRoqhcuFpqhG-ZjiKprUmM,male,172.0,103.0
VdIFFZDkEosz7ovVl1I36Bl1-5UQ86n3MrTNOn7bbYE,female,160.5,90.6
z8g60Y6KbwOUy4E9IISAHFzScXC51KTI7rzdiJ7bcek,female,154.0,86.2
y7hSR5UpX8vKoYm6nR5r0qusD8pl-sTK-O7owV0VIPM,female,163.9,92.5
P1aEQqvvzL2pKMO4Pq17rpAPVgluY9Op1dqv_caiRJM,male,173.0,103.2
uOvuHjwJCj0pqWmNVTjcbprS1h6pPRfNxdFvEVCkxfE,male,188.45,114.55
WsV_q-4hgeDa4aT-Gelcn-TsU3zBZ4KIpk_aHZAG8aI,female,169.5,95.8
JRxWV8PuWURsrbH1Jjs790x8alZ1WhE60DTZF7Sw6GM,male,182.75,109.95
141fFgYgNYIebFV2uIE7jmH7kHRAV5NMbFzQz7Her0A,male,174.0,103.4
59bc275c681516389ccf4198,female,167.0,94.0
KkcKYV7B1vYaAU3rhnwuJURVMpt_DsVVfOjKhQWyIUY,female,162.1,90.6
59bc276b681516389ccf47a5,male,183.75,110.55
MY3CwjtZZyuG5LA3zEnBVMp4G0PiQJo5xyLOZQ2OsO0,female,165.0,92.5
59bc2767681516389ccf45c9,male,181.9,109.1
atmWbiB7j1MyuIJnlsoDwdzSuv_0eqKCnLECAKK3vcg,male,183.0,109.9
W81GbQDdBYQMT5l7mDPGD9UkM1szFi6brOnMm0QZT18,female,161.5,90.1
99p9fJq9dc9r49WjqJ6wJmYIh5NpRDNjjliIKhN2nFY,female,163.3,91.3
qQOTtZI_-c558xi6ylqreJDMn_bffPbdd1ZmKGJTKvA,male,180.0,107.5
FX2BCVsOwJvN8jTO6nsyRWOfBhAU2YCtcKOAABH9Z_M,male,181.0,108.2
Ela0jNn0WXPUNlRmAP-JHotHLqBa9AqfCrd4CMie5js,male,176.0,104.2
n8freJbl-muE-nAC5QYGmba7phosloMOyFMeOxo_BCw,male,185.0,110.8
Pefs-r0yS1ClcRpjUKi5FU1NC7w920QUrokdZ0c4fiw,male,170.5,99.9
uAOOOjHPJ3RXlBmGW_om8GdJtFFic0Iz8IdGGMtit7w,female,156.6,86.0
fLxvU_dTtBOzidz7xh99ICzTaz4wuNFk0oLjCZ8HedA,female,155.6,85.2
QjI7V3xOO1AI6u5KD4WeyvLAaS_pr4ZsGG6xDhzHRpY,female,160.0,88.1
Z40UWDKpGeBI1I6HZD_VwgBMKwHxMIVn7tBiOghsZ6E,male,193.0,116.3
D4jRWVQxSD5SdIZooMH2pgR7modOEqwPCKG574RVCHw,male,183.0,108.8
vP1Sh-jJNg7AjHabR7sf1WRlUEiFa-Gke4hTuQkzhmQ,female,162.0,89.3
7pyqRwzwyeKrKPvQY0YD4dw1BdLlV_dzvXPvRPA9CyM,male,190.5,114.3
fThetEGzg5QWmpMHSnjGRYQXYXPH6UXYBpMxZd-0_Wc,male,178.5,105.1
-EujjqWPZ_L0NO_RqgxJ79mA23Tjj33cYAoFaysL4I0,female,154.1,83.7
FmgyxUyfXZdhV2BlpOlISUa68okBmPEVJi6Ny8eqygk,female,169.35,93.7
IiFA9usnpMOtdgyH3Hw-V13AzQoibMlu8lGGE61x3ng,female,158.65,86.2
K3p89zXx-UsYBby3S4aWeV9R5aM-T_lwmxb2dLf-LNk,male,185.75,109.9
TtC5LgtzmDEqh2FvMAvgRCzBpCOWSYgrDs0S1vQ3i_M,male,171.9,99.4
zds1X5WYB1qKkZepOtxgzod7uPtX-dghjHUf5GGazOU,female,169.5,93.2
pkM5J5U7Np7qVseeF6PLdqZWQdOcDRVOqPo96OiweP8,male,193.5,115.4
Ln93h-QpBiCetrCjogBLV0szB4r9JwHItcq7dAbq8Qw,female,154.5,82.9
xaq2jlOyjHdkBcpihC9DT-AGTxF1GGU24i63T3VewWU,male,170.5,98.0
UwbYVNhUg-Z7Vg1xyCMcWSFRj4AOQGpk5LtRS-kOwP4,male,169.5,97.2
sGpcX0Yq8iMy7jj5gJEpMC-1YcvbNWitT5S6X5YYhJI,male,180.5,105.4
NoP839tHlvR8LC8EAmB4xEvLRjJUrRrhc0_oIuwEBM0,male,190.5,112.8
59bc275d681516389ccf41e4,female,162.2,87.8
SHGPO9XrEnt07sVVxc95eNNyzpV_I8R_E5KFtMNABpQ,male,181.1,105.7
CKFPBwrwz49eS2XGCLmhIdY8uWrUvWIq52WKiNI5Rkc,male,164.0,92.8
QgfeuOOze8IVivTFjCA5CjmcZ2J87GUFLIq9O1Ruy80,male,181.0,105.5
uS4Nlsd6VQjC_MbPDR76MiYZCfgKQsrZG_UwbKzH20A,female,172.0,94.1
y78aCJqEaOUdDgPOeezXi7umAHL2m3duCPT9hBX1wnM,male,187.5,109.9
ErPNgCrUvUF92wqIZaBIT9t2vgP-T-ziAmtTWgShQWE,male,182.5,106.1
p_yVcHIa8_0dKhYnZw7I5Ye4ilVTfGUp4pwqdcjGKZg,male,171.0,97.4
59bc275c681516389ccf41a4,female,168.05,90.8
z0o7aFFYBEOC_-IjkRmJDhQhXZMvQnU-KGDfHH61XKc,female,164.3,88.2
u0MjoQ1vUciA1ahHpgs9v5JLbXFvWMHrdb6ZHmooDH8,male,177.9,102.3
IHApjwticZU7katp9cJaoUDOeGRX7BdEqNS5GEblrmk,male,185.35,107.85
72e6xpPgFKeAYYBN_LHxJRrZcwx9fD4-ixWA5ZZw9zs,female,158.65,84.35
MHSlcWpQY97n0ULNVud6441kEWnV1ZhIUSXp_LdRAwk,male,174.5,99.4
